electrode,pi_acc_mean,pi_acc_std,pi_auc_mean,pi_auc_std,pi_f1_mean,pi_f1_std,n_observations,rank_by_acc,rank_by_auc,rank_by_f1
32,0.02018518518518519,0.01900694719884278,0.005709876543209876,0.007346905237476936,0.020462036068864476,0.019600119290398905,75,1,22,1
57,0.019629629629629625,0.021308805135140694,0.006604938271604932,0.006705819999279791,0.01952035068995553,0.021460552378162714,75,2,3,2
61,0.018333333333333333,0.01926125634521268,0.005562414266117967,0.006959075022866632,0.018979005015726122,0.019860163204318777,75,3,24,3
14,0.017592592592592594,0.01743913896992787,0.0061522633744855795,0.006259523022840207,0.017697252503236893,0.017552489336260822,75,4,11,4
44,0.017407407407407406,0.021672697500035365,0.004979423868312753,0.007479032208575849,0.017384729904233568,0.022323190042823723,75,5,39,5
0,0.017222222222222226,0.019217899494854463,0.006011659807956096,0.006092340743864256,0.017359322455693018,0.019672357511199157,75,6,13,6
48,0.01685185185185185,0.017876120014642127,0.006172839506172839,0.006281369904029359,0.017120183700176084,0.01814439355741611,75,7,9,7
41,0.01685185185185185,0.01954784462135024,0.005020576131687227,0.00686239149733502,0.01693723282104131,0.019823971348857657,75,7,38,9
59,0.016666666666666673,0.022255043330002455,0.006042524005486977,0.00790867491145367,0.016461562775086862,0.022167951578538875,75,9,12,13
38,0.01648148148148149,0.0242390589013036,0.005987654320987644,0.007865966587626429,0.016681829434665355,0.025184730194836788,75,11,14,10
58,0.01648148148148149,0.021624532322710558,0.005771604938271593,0.008019449362883893,0.016662295394793077,0.022347154279441787,75,11,21,12
54,0.01648148148148149,0.017788410233906822,0.006159122085048003,0.007166417308860932,0.016678084726852133,0.01857824298258602,75,11,10,11
13,0.016296296296296295,0.020470225725486364,0.005301783264746228,0.006732261081294818,0.017035744476399644,0.021473385186704743,75,13,32,8
51,0.01592592592592593,0.021744745228587232,0.005411522633744861,0.006930455474442138,0.015936174621701663,0.022225362389818773,75,14,28,16
56,0.015925925925925923,0.019733656401507316,0.004677640603566527,0.0071682632568455746,0.015824581054742222,0.019226324356821877,75,15,48,17
9,0.015925925925925923,0.020126048683569032,0.005308641975308642,0.008154904876983955,0.01605296682920876,0.020874252616989598,75,15,31,15
42,0.015740740740740743,0.019149050383113497,0.004948559670781895,0.007248149741684309,0.01612147217893898,0.01936741578018294,75,17,40,14
50,0.01574074074074074,0.021459962125289587,0.006433470507544586,0.006922589537220258,0.01575502573599185,0.02201852350307509,75,18,5,18
16,0.015555555555555553,0.020671291742469844,0.005048010973936905,0.006299670075483928,0.015226472079166886,0.020967150601799538,75,19,36,22
52,0.015370370370370375,0.018769569552486553,0.005932784636488332,0.006994255776549251,0.015652400465440343,0.018555640533525677,75,20,16,19
19,0.01537037037037037,0.019585148007276114,0.005980795610425235,0.007613776164367775,0.015402714948141862,0.01948240813893149,75,21,15,21
10,0.015000000000000006,0.022343886171596227,0.00653635116598078,0.007252373168183415,0.015119543402991924,0.02306233810412355,75,22,4,23
1,0.015000000000000006,0.017502800195435816,0.005860768175582979,0.006892279541109608,0.015494705484655513,0.018255768002524545,75,22,17,20
37,0.014444444444444452,0.019433716474279165,0.005267489711934156,0.006423692784274263,0.014660614569679169,0.01967175124160453,75,24,33,24
60,0.01444444444444444,0.020731734244987914,0.0058401920438957465,0.006286743450209133,0.014377719682115687,0.021829318331326845,75,25,19,25
5,0.014259259259259261,0.02372602021296992,0.006419753086419743,0.008304137819945072,0.014369906805471337,0.024164503077423,75,26,6,26
33,0.014259259259259261,0.017385243487957818,0.004729080932784644,0.007132281366515306,0.014332754292270681,0.017756716633724183,75,26,46,27
29,0.014074074074074077,0.02184043915676464,0.004739368998628275,0.006782042038492289,0.014257927140269527,0.02205250444201244,75,28,44,28
27,0.014074074074074077,0.018478435098102496,0.0067112482853223555,0.008074322055348455,0.013766859892464076,0.01908384063390422,75,28,2,32
30,0.013888888888888899,0.02067633536624687,0.005329218106995878,0.008218339643314029,0.013876436487660121,0.020890455674948846,75,30,30,30
7,0.013888888888888893,0.018408708461320165,0.004519890260631008,0.005627254386741439,0.014083373970560805,0.01919278511823407,75,31,54,29
43,0.013703703703703708,0.019170818920324028,0.00551097393689986,0.0077799890984379715,0.013706738189165835,0.0199412510999617,75,32,27,34
46,0.013703703703703708,0.019306316193310084,0.006183127572016461,0.006393433776252531,0.013744717707381419,0.019808927554857154,75,32,8,33
12,0.013518518518518523,0.01753454413481552,0.004502743484224953,0.007335869696486901,0.013853399512186702,0.018296599832758977,75,34,55,31
34,0.013518518518518518,0.02016228232963349,0.005819615912208511,0.006834903580896601,0.01305985155952182,0.02066498116818142,75,35,20,39
49,0.013518518518518518,0.019235976725353876,0.0046604938271604815,0.007140557315437857,0.013600087575837527,0.019916284571726655,75,35,50,35
20,0.013518518518518515,0.020546490439500645,0.005332647462277087,0.006738822861561247,0.013376234513224394,0.020303322304380467,75,37,29,37
6,0.01333333333333334,0.02276916998417893,0.004783950617283949,0.00656950305722489,0.013183541177114665,0.02297909594138753,75,38,43,38
53,0.013333333333333336,0.018889551304406758,0.005524691358024693,0.007792410310295207,0.01342292477247608,0.02018746208029967,75,39,26,36
47,0.013148148148148152,0.01825132566874101,0.006313443072702333,0.006897336136542496,0.012722828947906464,0.018643673277889787,75,40,7,43
18,0.012962962962962968,0.020718317816308878,0.00556241426611797,0.007750817625456523,0.01275553962118735,0.021250911551883588,75,41,23,42
40,0.012962962962962959,0.01981801869451352,0.004859396433470507,0.007831456909750465,0.012825616303539667,0.01999853846217246,75,42,41,40
31,0.012592592592592598,0.0219214505550815,0.005850480109739357,0.008628058552925788,0.012609729601515771,0.0226674302321963,75,43,18,44
35,0.012592592592592596,0.022623688375686325,0.005541838134430724,0.008243399604006286,0.012368991753193828,0.022906995352211232,75,44,25,45
2,0.012592592592592596,0.021561756741931833,0.005041152263374485,0.006615742428728184,0.01278292235479096,0.022447867387213043,75,44,37,41
28,0.012592592592592593,0.016492668650959472,0.0037071330589849055,0.007193957383588641,0.01232500513202064,0.01662642048463094,75,46,62,46
3,0.012037037037037039,0.020843757819016113,0.00457133058984911,0.008168260490083642,0.012127310734849009,0.02118122785131711,75,47,52,47
45,0.011851851851851862,0.01960111344012214,0.007146776406035659,0.008713035647113529,0.011596515172732288,0.020335361589895583,75,48,1,52
15,0.011851851851851855,0.02063763608396672,0.005089163237311383,0.007056981097082453,0.012114452433334118,0.021714280197015053,75,49,35,48
21,0.011851851851851851,0.023584967567066614,0.00405006858710562,0.006097521196071384,0.011724231071500049,0.02443252530226259,75,50,59,51
36,0.01166666666666667,0.018414371808158126,0.0039026063100137134,0.006879437271377057,0.012046670027709686,0.019531365406593934,75,51,60,49
8,0.011481481481481476,0.01888034900868628,0.004303840877914944,0.006316188874813695,0.011860017937076224,0.019488950181522594,75,52,57,50
17,0.0112962962962963,0.01807912145017528,0.005092592592592596,0.007031435681981599,0.011144479636249713,0.018631815823680155,75,53,34,53
23,0.011296296296296299,0.01919799488102589,0.0038511659807956115,0.0056203873711285915,0.010592455150495438,0.02006950198179474,75,54,61,55
4,0.01074074074074075,0.019451593137496424,0.00425582990397804,0.006638174860017104,0.010701782248498218,0.019872607468669874,75,55,58,54
11,0.010740740740740749,0.01863016892852602,0.004687928669410148,0.008055633739883744,0.010493313346382855,0.019451049646225512,75,56,47,56
26,0.010370370370370377,0.01897949768680812,0.004530178326474623,0.007107043512610502,0.009839766103140996,0.019672807212750446,75,57,53,59
25,0.010370370370370375,0.018562884792049813,0.004639917695473251,0.006731669711557498,0.010225128860658624,0.01842202492650508,75,58,51,57
55,0.010185185185185195,0.019419403295040934,0.004320987654320999,0.007649375490004914,0.00960568134644782,0.019720781614426912,75,59,56,60
24,0.009814814814814816,0.018935495700981426,0.004677640603566514,0.006094822982188161,0.009885056150076165,0.019172778318497605,75,60,49,58
39,0.00944444444444445,0.021800617734373185,0.004801097393689979,0.006911971584000748,0.009341914046538873,0.022960285154471245,75,61,42,61
22,0.007407407407407408,0.01901243234556815,0.004735939643347047,0.007533275021683487,0.007450625580449062,0.019519694735142982,75,62,45,62
